business_id,bar_nightlife_crowd,bar_vibes_live_music,brunch_breakfast,cafe_coffee_reading_terminal,casual_payment_ordering,chef_specials_platters,cocktail_bars_speakeasy,comfort_food_sandwiches,craft_beer_sports_bars,customer_service_quality,desserts_bakery,dinner_happy_hour,fine_dining_tasting_menu,food_trucks_trendy_spots,markets_grocery_shopping,outdoor_street_seating,overall_food_quality,philly_neighborhood_gems,quick_fresh_lunch,service_wait_time,small_plates_cocktails,spicy_asian_flavors,unique_quirky_dining,value_portion_size,venue_location_experience,business_name,address,categories,business_stars,review_count,is_open,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,dominant_topic,dominant_topic_score,topic_diversity,overall_sentiment,romantic_score,solo_work_score,family_score,group_celebration_score,hidden_gem_score
u-8sFq05DQ6PYCR5HiKZ2w,0.0264,0.0261,0.0448,0.0174,0.0251,0.0309,0.026,0.0794,0.0185,0.0289,0.016,0.073,0.0224,0.0217,0.017,0.0198,0.0473,0.124,0.0574,0.3235,0.0167,0.0146,0.0222,0.0517,0.0297,Axis Pizza,20 S 36th St,"Pizza, Food, Restaurants, Sandwiches, Burgers, Coffee & Tea, Italian",3.0,159,1,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,Brunch & Breakfast,0.3235,6,0.4528,0.023,0.2206,0.2277,0.0262,0.0718
ld1b8y_PHH6Mn_e7T0u04g,0.0206,0.0229,0.0461,0.0181,0.0182,0.027,0.039,0.0616,0.0235,0.019,0.0141,0.0788,0.026,0.0296,0.0171,0.0192,0.0565,0.1546,0.0672,0.2616,0.0154,0.0267,0.0204,0.0551,0.0399,Gachi Sushi and Noodle,"8500 Essington Ave, A West Terminal","Noodles, Japanese, Restaurants, Sushi Bars",4.0,95,1,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,Venue & Location Experience,0.2616,7,0.6162,0.0288,0.2251,0.2264,0.0277,0.0845
Pb5agnsD9EdCl6yuZp2jJA,0.025,0.0364,0.0161,0.0124,0.0224,0.0324,0.0339,0.0919,0.0161,0.0169,0.0148,0.0949,0.0303,0.0142,0.0153,0.021,0.0418,0.1653,0.0471,0.2633,0.0188,0.0179,0.0343,0.0414,0.0159,O Sole Mio,250 Catharine St,"Food, Seafood, Sardinian, Gelato, Restaurants, Pizza, Italian",4.5,85,1,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,1:0-22:0,Unique & Quirky Dining,0.2633,4,0.8396,0.0292,0.2153,0.2147,0.0315,0.0888
Ak34oJ8zxN8Av7dxS9T8IQ,0.0258,0.0446,0.0485,0.0305,0.0364,0.0205,0.05,0.0395,0.0271,0.0312,0.0273,0.0865,0.0244,0.029,0.0259,0.0228,0.0426,0.1371,0.0452,0.2609,0.0173,0.0198,0.0228,0.0413,0.0503,The Centurion Lounge,"Terminal A West, near Gate A14","Airport Lounges, Bars, Nightlife",3.5,88,1,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,Venue & Location Experience,0.2609,4,0.7406,0.033,0.2236,0.2215,0.0399,0.0741
zUJMvjK6aBeQtVCowZ85-w,0.024,0.0237,0.0204,0.0157,0.0229,0.0295,0.0282,0.0504,0.0279,0.0285,0.0187,0.0812,0.0312,0.0269,0.0207,0.019,0.0575,0.1286,0.0725,0.273,0.0108,0.0176,0.0269,0.0888,0.0216,Panasian Buffet,833 Adams Ave,"Pan Asian, Japanese, Buffets, Restaurants, American (Traditional), Chinese, Seafood",3.5,62,1,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0,Value & Portion Size,0.273,7,0.5079,0.0271,0.2248,0.2309,0.0254,0.0862
z5YxP_jyIU7dRKUA7V_H0w,0.0156,0.0223,0.0192,0.0173,0.0162,0.0223,0.0,0.0911,0.0122,0.0168,0.0151,0.0774,0.0379,0.0215,0.0187,0.0182,0.0632,0.1377,0.0586,0.2448,0.013,0.0735,0.0178,0.0515,0.0164,Cily Chicken Rice,933 Race St,"Hainan, Fast Food, Chinese, Coffee & Tea, Food, Restaurants, Thai",4.5,68,1,0:0-0:0,16:0-22:0,,16:0-22:0,16:0-23:0,16:0-23:0,16:0-22:0,Spicy & Asian Flavors,0.2448,8,0.6943,0.0197,0.2231,0.2248,0.0122,0.0759
V6Om7YZhlRQRU7WfuxHq8Q,0.0236,0.0231,0.0423,0.0381,0.0182,0.0268,0.0292,0.1018,0.0143,0.0231,0.0252,0.0647,0.0274,0.0314,0.0169,0.0186,0.0444,0.1321,0.0491,0.2469,0.02,0.0313,0.0197,0.1018,0.0211,Beck's Cajun Cafe,51 N 12th St,"Restaurants, Cajun/Creole",4.0,485,1,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,Value & Portion Size,0.2469,5,0.7038,0.0258,0.2291,0.2411,0.0254,0.0893
MUTTqe8uqyMdBl186RmNeA,0.0199,0.0363,0.0445,0.0149,0.0204,0.0261,0.0288,0.0487,0.0197,0.0201,0.0187,0.1258,0.0318,0.0208,0.015,0.0242,0.0598,0.142,0.0698,0.2506,0.0189,0.0263,0.0309,0.0548,0.0233,Tuna Bar,205 Race St,"Sushi Bars, Restaurants, Japanese",4.0,245,1,,13:30-22:0,13:30-22:0,13:30-22:0,13:30-23:0,13:30-23:0,13:30-22:0,Brunch & Breakfast,0.2506,6,0.7987,0.0288,0.2244,0.2289,0.0279,0.0825
7T1VAYHIS3cgsDj3iS6JWQ,0.0257,0.0248,0.0295,0.0256,0.0209,0.0307,0.0143,0.0572,0.0157,0.0258,0.1215,0.0774,0.0281,0.0198,0.0201,0.0149,0.0438,0.1538,0.0362,0.2467,0.014,0.0162,0.0199,0.0451,0.0244,The Frosted Fox Cake Shop,6511 Germantown Ave,"Bakeries, Food",5.0,104,1,0:0-0:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-15:0,10:0-17:0,,Desserts & Bakery,0.2467,5,0.8888,0.02,0.2185,0.2225,0.0214,0.081
MTSW4McQd7CbVtyjqoe9mw,0.0248,0.0212,0.017,0.0261,0.0227,0.022,0.0199,0.0756,0.0131,0.0436,0.0959,0.0683,0.0203,0.0214,0.0374,0.02,0.0468,0.116,0.0532,0.2519,0.0133,0.0349,0.0192,0.0619,0.0261,St Honore Pastries,935 Race St,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",4.0,80,1,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-21:0,7:0-21:0,7:0-21:0,Desserts & Bakery,0.2519,7,0.7229,0.0201,0.224,0.2237,0.022,0.0707
KnyuQ1D7QE7X8eMk8T3kTA,0.0247,0.0253,0.0321,0.0118,0.0381,0.0327,0.0225,0.0834,0.0125,0.0343,0.0272,0.0639,0.023,0.0284,0.0122,0.017,0.0449,0.1116,0.0481,0.3581,0.0198,0.0202,0.031,0.0377,0.0208,Tasties,5241 Germantown Ave,"Soul Food, Restaurants",2.5,63,1,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-22:0,Casual Payment & Ordering,0.3581,4,0.0464,0.0213,0.2154,0.2198,0.0241,0.0652
00Vn4VUTWl71_cFPziRQNQ,0.0167,0.0252,0.0,0.0149,0.0248,0.0318,0.0324,0.0854,0.0159,0.0371,0.0237,0.0668,0.0255,0.0254,0.0266,0.0162,0.0439,0.1423,0.0502,0.3036,0.0192,0.0187,0.012,0.0579,0.0197,Crab & Claw,7801 Ogontz Ave,"Seafood Markets, Specialty Food, Food",3.0,65,1,9:30-21:0,9:30-21:0,9:30-21:0,9:30-21:0,9:30-22:0,9:30-22:0,10:30-18:30,Customer Service Quality,0.3036,6,0.4891,0.0256,0.2192,0.2141,0.0247,0.0779
wCluBbW9nzS7MEMFltMwJw,0.0219,0.0271,0.0312,0.0159,0.0312,0.0323,0.0233,0.0719,0.0165,0.0441,0.0223,0.0824,0.0271,0.0215,0.0204,0.0203,0.0521,0.1144,0.0401,0.3502,0.0223,0.0276,0.0225,0.0424,0.0269,Tasties,1212 N 52nd St,"Food, Imported Food, Food Trucks, Desserts, Seafood, Steakhouses, Ethnic Food, Sandwiches, Soul Food, Specialty Food, Restaurants",2.5,106,1,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,11:0-22:0,Customer Service Quality,0.3502,5,0.2267,0.0241,0.2156,0.2215,0.024,0.0652
TGfPJHImEq6AQL9a1laxlg,0.0266,0.0256,0.04,0.0162,0.0246,0.0266,0.0213,0.0585,0.0164,0.0346,0.0145,0.0801,0.0208,0.0293,0.0154,0.026,0.0429,0.1556,0.0579,0.3166,0.0108,0.022,0.027,0.0433,0.0282,Chick-fil-A,9711 Roosevelt Blvd,"Event Planning & Services, American (Traditional), Restaurants, Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch",4.0,80,1,0:0-0:0,10:30-18:0,6:30-22:0,6:30-22:0,6:30-22:0,6:30-20:0,,Customer Service Quality,0.3166,5,0.5089,0.0223,0.2202,0.2259,0.0244,0.0833
NBlB85ch_WCxYJ4fPWHxJA,0.0318,0.0203,0.0238,0.0143,0.0296,0.017,0.0352,0.106,0.0218,0.0198,0.0136,0.0615,0.0302,0.0342,0.018,0.015,0.0525,0.1198,0.0706,0.2451,0.0442,0.0362,0.0101,0.0651,0.0157,MexiCali,38th & Walnut,"Mexican, Food Trucks, Restaurants, Food",4.5,50,1,,,,,,,,Small Plates & Cocktails,0.2451,7,0.8762,0.0282,0.222,0.2226,0.0295,0.0705
w_JNBcdRer2wZlKMiC4hHA,0.0255,0.0303,0.0598,0.0237,0.0203,0.029,0.0229,0.0836,0.0166,0.026,0.0223,0.0913,0.0279,0.0248,0.0194,0.0204,0.0406,0.1512,0.0499,0.2592,0.0164,0.0205,0.0242,0.0494,0.0164,Flannel,1819 E Passyunk Ave,"Southern, American (Traditional), Breakfast & Brunch, Restaurants",4.5,113,1,0:0-0:0,8:0-16:0,9:0-21:0,9:0-21:0,9:0-22:0,9:0-22:0,9:0-21:0,Brunch & Breakfast,0.2592,5,0.7877,0.0243,0.2217,0.2323,0.026,0.0826
JomDoQafikclSVVCPkWjnA,0.0171,0.0246,0.0674,0.0208,0.0186,0.0259,0.0221,0.0645,0.0158,0.0219,0.0198,0.0803,0.0258,0.0219,0.0163,0.0214,0.0415,0.1465,0.0561,0.281,0.015,0.0204,0.0243,0.0578,0.0212,Cedar Park Cafe,4914 Baltimore Ave,"Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian",4.0,301,1,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:30,7:0-15:30,Brunch & Breakfast,0.281,7,0.7776,0.0234,0.2238,0.2374,0.0211,0.0832
AfassS1QI0DHsqwuof9-lA,0.03,0.0768,0.026,0.016,0.0285,0.0239,0.0284,0.0398,0.0326,0.0539,0.0163,0.0752,0.0199,0.0217,0.0205,0.0213,0.0442,0.1361,0.0337,0.2718,0.019,0.0139,0.0408,0.0518,0.0315,Dirty Franks,347 S 13th St,"Arts & Entertainment, Bars, Jazz & Blues, Dive Bars, Nightlife",3.5,290,1,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,Customer Service Quality,0.2718,6,0.4896,0.0232,0.2121,0.2219,0.0435,0.0822
eJ77e9lGxY3ArzaoDbHhYw,0.0318,0.0836,0.0218,0.0175,0.0309,0.0206,0.0267,0.0451,0.0296,0.0295,0.0144,0.0954,0.0204,0.0403,0.0188,0.0249,0.0509,0.1241,0.0416,0.2902,0.0253,0.0123,0.0261,0.0451,0.0281,Paddy Whacks Irish Sports Pub - South Street,150 South St,"Bars, Nightlife, Pubs",2.5,161,1,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,Bar Vibes & Live Music,0.2902,5,0.4454,0.0237,0.2149,0.2197,0.0456,0.071
3lBooCffgkW7tVSG5kILBA,0.0225,0.0282,0.0203,0.0161,0.0226,0.0277,0.0241,0.059,0.0141,0.0246,0.0187,0.1523,0.0455,0.0204,0.0152,0.0224,0.0507,0.1386,0.0349,0.2805,0.021,0.014,0.0213,0.0449,0.0225,Porcini,2048 Sansom St,"Restaurants, Italian",3.5,317,1,17:0-20:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-22:0,17:0-22:0,,Dinner & Happy Hour,0.2805,5,0.7031,0.0322,0.214,0.2192,0.0248,0.0753
hxGPQvQLwMQzOz72Cx8UGg,0.0227,0.0862,0.0102,0.017,0.0251,0.0213,0.0275,0.0466,0.041,0.0264,0.015,0.0954,0.0207,0.0274,0.0158,0.0257,0.0444,0.1448,0.0451,0.2467,0.0152,0.0134,0.0314,0.0513,0.0296,Woolly Mammoth,430 South St,"Karaoke, Nightlife, Bars, Sports Bars, Music Venues, Arts & Entertainment",3.5,81,1,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,Bar Vibes & Live Music,0.2467,5,0.6556,0.0243,0.2175,0.2181,0.0434,0.0827
pHBwvBG3iZdOfpLNZTkVWQ,0.0237,0.0333,0.0197,0.0202,0.0184,0.0219,0.0248,0.0663,0.0679,0.0185,0.017,0.074,0.022,0.0204,0.0223,0.0195,0.049,0.1486,0.0508,0.2796,0.0161,0.0144,0.0222,0.064,0.0273,Pasqually's Pizza,200 S 43rd St,"Italian, Food Delivery Services, Beverage Store, Food, Pizza, Restaurants, Beer, Wine & Spirits",4.0,96,1,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-23:0,Craft Beer & Sports Bars,0.2796,7,0.6886,0.0224,0.2206,0.224,0.027,0.0853
jLDwSeoQ_kDQwhnUJQO2yw,0.0201,0.0281,0.0194,0.0178,0.0171,0.0458,0.0268,0.0687,0.0157,0.0182,0.0205,0.1122,0.0374,0.019,0.0168,0.0202,0.0467,0.1538,0.0492,0.2491,0.0136,0.031,0.0185,0.0553,0.0201,Sansom Kabob House,1300 South St,"Soup, Vegetarian, Afghan, Kebab, Indian, Restaurants",4.0,106,1,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,,Chef Specials & Platters,0.2491,5,0.755,0.0294,0.2196,0.2211,0.0248,0.0837
_9x1oSQghxEPuUeb5NPShw,0.0225,0.0535,0.017,0.0154,0.0226,0.04,0.0202,0.0475,0.0174,0.0358,0.0214,0.1139,0.043,0.0229,0.02,0.0213,0.044,0.1288,0.0339,0.2975,0.0125,0.0177,0.0233,0.0452,0.024,Fez Moroccon Restaurant,620 S 2nd St,"Bars, Event Planning & Services, Nightlife, Venues & Event Spaces, Restaurants, Hookah Bars, Moroccan",3.0,147,1,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,Chef Specials & Platters,0.2975,4,0.5262,0.0296,0.2134,0.2189,0.031,0.0721
bTve2mwLk5Zc01vRKqc2KQ,0.0206,0.0361,0.0391,0.0527,0.0258,0.023,0.0354,0.0691,0.0193,0.0211,0.023,0.0762,0.0231,0.0268,0.0219,0.025,0.0437,0.1456,0.0559,0.2519,0.0166,0.0148,0.0295,0.0559,0.0204,Red Hook Coffee & Tea,765 S 4th St,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea",4.5,183,1,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,"Cafe, Coffee & Reading Terminal",0.2519,7,0.8413,0.0279,0.239,0.2264,0.0304,0.0839
y1HgVnt4K5owmYXC5yXLGg,0.0218,0.0338,0.0183,0.0128,0.0298,0.0255,0.0248,0.0716,0.0144,0.0233,0.0171,0.0927,0.046,0.0275,0.016,0.0164,0.0461,0.1678,0.0436,0.2631,0.0213,0.038,0.0213,0.045,0.0198,Flambo Caribbean Restaurant,820 N Broad St,"Trinidadian, Caribbean, Restaurants, Seafood",4.5,138,1,0:0-0:0,12:0-21:0,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,Spicy & Asian Flavors,0.2631,4,0.8324,0.0312,0.2151,0.2173,0.0264,0.087
9nkYaCQRyO0fi8SrXDFhGw,0.027,0.0212,0.0263,0.0434,0.0283,0.0254,0.0202,0.0483,0.0306,0.0397,0.0168,0.0591,0.0194,0.0185,0.0548,0.0296,0.048,0.123,0.0437,0.2787,0.0231,0.0151,0.0233,0.0932,0.0267,Rittenhouse Market,1733 Spruce St,"Food, Grocery",2.5,113,1,6:30-22:0,6:30-22:0,6:30-22:0,6:30-22:0,6:30-22:0,6:30-22:0,6:30-22:0,Markets & Grocery Shopping,0.2787,5,0.3041,0.0222,0.2294,0.2377,0.0229,0.0842
RI33oswGDkIsc0fuQ8GzjA,0.0276,0.0291,0.0287,0.0183,0.0224,0.0324,0.0296,0.0989,0.0194,0.0275,0.0137,0.0699,0.0235,0.0251,0.0151,0.0259,0.0434,0.1424,0.0444,0.3081,0.0166,0.0126,0.0261,0.0526,0.024,Oregon Steaks,2654 S 10th St,"Restaurants, Cheesesteaks, Sandwiches, Steakhouses, Local Flavor",3.5,184,1,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,Comfort Food & Sandwiches,0.3081,5,0.5268,0.0262,0.217,0.2236,0.0288,0.0806
XahxHmkaFOAwXix2VGRAUQ,0.041,0.028,0.0426,0.0427,0.0211,0.0296,0.0395,0.0568,0.0126,0.0219,0.0176,0.0755,0.0204,0.0222,0.0161,0.0154,0.0372,0.1507,0.0606,0.2773,0.0119,0.0121,0.0,0.0559,0.0154,Richie's,"1835 N 12th St, Ste 9, Temple University Main Campus","Food Stands, Restaurants, Sandwiches, Pizza, Burgers, Breakfast & Brunch, Delis, Food, Coffee & Tea",4.5,50,1,6:0-18:0,6:0-18:0,6:0-18:0,6:0-18:0,6:0-18:0,,,"Cafe, Coffee & Reading Terminal",0.2773,6,0.7227,0.0258,0.2313,0.2247,0.0366,0.0771
TZ_pTn6SeZwRcnx6v3bREQ,0.0162,0.032,0.0347,0.0566,0.0265,0.0141,0.0354,0.07,0.0156,0.0318,0.0353,0.0613,0.0264,0.0325,0.0257,0.0219,0.0541,0.131,0.0686,0.2462,0.0187,0.0353,0.0219,0.0435,0.0415,Tsaocaa,4415 Main St,"Ice Cream & Frozen Yogurt, Restaurants, Chicken Wings, Food, Bubble Tea",4.5,53,1,,,,,,,,"Cafe, Coffee & Reading Terminal",0.2462,7,0.823,0.0284,0.2456,0.2208,0.0277,0.072
10wt8eSXI_PZfl9dRIiWmg,0.019,0.0235,0.0177,0.017,0.0153,0.0276,0.0294,0.0695,0.0141,0.015,0.0171,0.082,0.0309,0.0441,0.019,0.0148,0.0554,0.148,0.0592,0.2889,0.0133,0.0349,0.0188,0.0622,0.018,Rangoli: Vibrant Flavors of India,10863 Bustleton Ave,"Pakistani, Specialty Food, Halal, Restaurants, Indian, Health Markets, Vegetarian, Vegan, Ethnic Food, Food",4.0,89,1,,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,Food Trucks & Trendy Spots,0.2889,7,0.6726,0.0264,0.2225,0.2211,0.024,0.0835
jULIPydhMj18KOI5OHTwfA,0.0246,0.0301,0.0246,0.017,0.0219,0.0258,0.0277,0.0688,0.0227,0.0182,0.0168,0.0798,0.0281,0.024,0.0388,0.0198,0.0593,0.131,0.0557,0.2649,0.0487,0.0226,0.0257,0.0562,0.0188,Buena Onda,1901 Callowhill St,"Tacos, Restaurants, Mexican",4.0,552,1,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,Small Plates & Cocktails,0.2649,7,0.7714,0.0259,0.2203,0.2227,0.0273,0.077
ugSVRAKO6mxvsrElFg8USw,0.0146,0.0253,0.0311,0.0159,0.0282,0.0147,0.0286,0.0707,0.018,0.0207,0.0146,0.0857,0.0314,0.027,0.0135,0.0237,0.0475,0.1629,0.0521,0.2516,0.0532,0.0274,0.0335,0.0509,0.0208,México Lindo,700 Moore St,"Mexican, Restaurants",4.5,73,1,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,Small Plates & Cocktails,0.2516,7,0.8829,0.0285,0.2207,0.2236,0.0227,0.0905
0zWAsCBzvuCI_Ydx7yH1Jw,0.019,0.0241,0.0304,0.0124,0.0284,0.0211,0.0309,0.0781,0.0164,0.019,0.0158,0.082,0.0355,0.0236,0.02,0.0269,0.0546,0.1494,0.0509,0.2727,0.02,0.0431,0.0195,0.0552,0.0238,Shing Kee,"600 Washington Ave, Ste 18 A","Noodles, Chinese, Restaurants, Soup",4.0,84,1,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-23:0,11:0-23:0,11:0-22:30,Spicy & Asian Flavors,0.2727,7,0.763,0.0317,0.2177,0.2249,0.0247,0.0822
E1gf1YIWOo1BgzMUwJtEZg,0.0244,0.027,0.0245,0.0178,0.0249,0.034,0.026,0.0971,0.019,0.0228,0.0137,0.0802,0.0269,0.0271,0.0188,0.0185,0.046,0.1355,0.0617,0.2875,0.0218,0.0159,0.0227,0.0571,0.0206,Top Tomato Bar & Pizza,116 S 11th St,"Pizza, Breakfast & Brunch, Nightlife, Sandwiches, Italian, Restaurants, Cheesesteaks, Food Delivery Services, Cocktail Bars, Sports Bars, Food, Bars",3.5,232,1,0:0-0:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,11:0-2:0,11:0-20:0,Comfort Food & Sandwiches,0.2875,6,0.6093,0.0245,0.2225,0.223,0.0257,0.0781
7sKfrJmjG6unAQeWdQUe2w,0.0212,0.0261,0.0275,0.0165,0.0248,0.0236,0.0253,0.1267,0.0152,0.0198,0.0171,0.0675,0.0231,0.023,0.015,0.0191,0.0495,0.129,0.0421,0.3031,0.016,0.0155,0.0251,0.0519,0.0219,Franzone's Pizzeria & Restaurant,114 Levering St,"Pizza, Restaurants",3.5,110,1,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,Comfort Food & Sandwiches,0.3031,5,0.4939,0.0229,0.2166,0.2226,0.0241,0.0747
B6qHZCAs7Nka-1zdjCzAIQ,0.0227,0.0217,0.0435,0.016,0.0237,0.0353,0.0168,0.1294,0.016,0.0255,0.0254,0.0721,0.0285,0.0277,0.0178,0.0201,0.0509,0.1277,0.0522,0.2874,0.0171,0.0282,0.0202,0.0412,0.02,Butter's Soul Food,2730 W Girard Ave,"Food, Caterers, Event Planning & Services, Restaurants, Soul Food",3.0,77,1,,12:0-20:0,12:0-20:0,12:0-20:0,12:0-21:0,12:0-21:0,12:0-20:0,Comfort Food & Sandwiches,0.2874,6,0.6616,0.0223,0.2191,0.2261,0.0203,0.0695
vdpxxb6fxjYtJMnW_V0GZg,0.0225,0.046,0.0197,0.087,0.0288,0.0236,0.018,0.0545,0.025,0.0373,0.0292,0.0926,0.0235,0.021,0.0231,0.0312,0.037,0.1581,0.0416,0.231,0.0174,0.0132,0.0312,0.047,0.0216,Lucky Goat Coffeehouse,888 N 26th St,"Food, Coffee & Tea",4.5,135,1,8:0-14:0,8:0-14:0,8:0-14:0,8:0-14:0,8:0-14:0,8:0-14:0,8:0-14:0,"Cafe, Coffee & Reading Terminal",0.231,5,0.863,0.0235,0.2515,0.2226,0.028,0.0867
rjuWz_AD3WfXJc03AhIO_w,0.0244,0.0781,0.0,0.0186,0.0167,0.0196,0.0338,0.0387,0.0212,0.0203,0.0142,0.1259,0.0204,0.0374,0.0232,0.0195,0.0444,0.1282,0.0345,0.2714,0.0114,0.0125,0.0278,0.0547,0.0318,The N Crowd,111 S Independence Mall E,"Performing Arts, Arts & Entertainment, Nightlife, Comedy Clubs",4.5,90,1,0:0-0:0,,,,19:15-21:15,,,Bar Vibes & Live Music,0.2714,5,0.885,0.0249,0.2148,0.2136,0.0438,0.076
-Or44IdY51Ukd618kikmtA,0.0207,0.0227,0.0281,0.0303,0.0219,0.0247,0.0223,0.0819,0.017,0.0259,0.0498,0.0623,0.0253,0.0789,0.0191,0.0212,0.0482,0.1318,0.0506,0.2482,0.0153,0.0205,0.0212,0.0502,0.0267,Federal Donuts,701 N Seventh St,"Restaurants, Donuts, Chicken Wings, Food, Coffee & Tea",4.0,321,1,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,Food Trucks & Trendy Spots,0.2482,7,0.7089,0.0232,0.2262,0.2233,0.0219,0.0741
I9DCtzUgR4gamBFMVsdY8g,0.0206,0.0303,0.0,0.0198,0.0231,0.0201,0.02,0.057,0.0619,0.0203,0.0148,0.0742,0.0264,0.0185,0.0211,0.0148,0.0477,0.117,0.0761,0.2874,0.0147,0.0335,0.0154,0.0564,0.0187,Capital Beer,2661 E Cumberland St,"Chinese, Restaurants, Sushi Bars",3.5,75,1,,,,,,,,Craft Beer & Sports Bars,0.2874,7,0.6037,0.0213,0.2286,0.2159,0.0233,0.0683
XBdaG2kQ2Iz9VNGPZokjYg,0.024,0.0266,0.0211,0.0162,0.0308,0.0256,0.0204,0.0654,0.0238,0.0267,0.015,0.1148,0.0314,0.0211,0.0172,0.0198,0.0462,0.141,0.0391,0.3182,0.0216,0.014,0.0206,0.0487,0.0201,Maria's Ristorante on Summit,8100 Ridge Ave,"Italian, Pizza, Restaurants",3.5,98,1,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,12:0-21:0,Dinner & Happy Hour,0.3182,4,0.6097,0.0246,0.215,0.2208,0.0235,0.0772
kimOwpoIWzJJx7NHTAj74Q,0.0219,0.0262,0.0185,0.0153,0.0239,0.0216,0.0304,0.0626,0.0127,0.026,0.0141,0.07,0.0231,0.0295,0.0153,0.0176,0.061,0.1193,0.0558,0.3452,0.014,0.0396,0.0277,0.0404,0.0171,Little Kitchen,5000 City Line Ave,"Thai, Restaurants, Japanese, Chinese",2.5,50,1,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-22:0,11:0-22:0,12:0-21:0,Spicy & Asian Flavors,0.3452,6,0.1605,0.0243,0.22,0.2151,0.0262,0.0682
9XpU6r6ATXSWYfbU7kibaQ,0.0241,0.0361,0.0378,0.0767,0.0308,0.0223,0.0297,0.048,0.021,0.0305,0.0364,0.055,0.0237,0.0287,0.027,0.0142,0.0423,0.146,0.0558,0.2561,0.0199,0.0202,0.0194,0.0677,0.0284,Passero's Coffee Roasters,1601 John F Kennedy Blvd,"Coffee & Tea, Restaurants, Food, Coffee Roasteries, Sandwiches",4.5,91,1,,,,,,,,"Cafe, Coffee & Reading Terminal",0.2561,6,0.879,0.0234,0.2503,0.2286,0.0297,0.0845
HFuAKE0uZ-frIMjroeA-cA,0.0255,0.0417,0.0657,0.0135,0.0243,0.0214,0.0337,0.0579,0.0193,0.0186,0.0174,0.1111,0.0226,0.0184,0.0164,0.0321,0.0479,0.1226,0.0442,0.2797,0.0235,0.0189,0.0244,0.044,0.0221,SET NoLibs,"1030 N 2nd St, Unit 101","Mexican, Bars, Restaurants, Asian Fusion, Lounges, Nightlife, Salad, Tacos",4.0,108,1,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-23:0,11:0-23:0,11:0-23:0,Brunch & Breakfast,0.2797,5,0.707,0.0289,0.2149,0.2326,0.0332,0.0696
